id,columnId,teamId,tag,text,flag,description,links,jiraUrl,confluenceUrl,strategicCategory,revenueType,revenueUplift,revenueStream,enablerNote,enables,savingAmount,savingKind,savingArea,cadence,startDate,endDate,milestones,outcomeMax,metricName,metricDir,metricValue,metricUnit,strategicNote
s01,done,payments,DE,SEPA direct debit for German checkout - 28 FEB,completed,"Direct debit (Lastschrift) is the default payment method for roughly a third of German shoppers. Not offering it wasn't losing us the payment — it was losing us the basket, at the moment of highest intent.

Shipped with a Schufa-backed risk check so we can offer it to first-time buyers without eating the chargeback risk.","[{""id"":""l01a"",""url"":""https://threadhouse.atlassian.net/browse/PAY-1042""},{""id"":""l01b"",""url"":""https://threadhouse.atlassian.net/wiki/spaces/PAY/pages/88211/SEPA+rollout""}]",,,do-or-die,direct,480000,Payments,,,,,,year,2026-01-06,2026-02-28,"[{""id"":""m01a"",""date"":""2026-01-23"",""label"":""Risk model signed off""},{""id"":""m01b"",""date"":""2026-02-11"",""label"":""10% traffic ramp""}]",,,,,,
s02,done,payments,,PSD2 strong customer authentication rollout - Q1 2026,completed,"Regulatory, non-negotiable. The interesting part was the exemption engine: low-risk transactions under €30 skip the challenge entirely, which is why the failure rate went down rather than up.",,https://threadhouse.atlassian.net/browse/PAY-0977,https://threadhouse.atlassian.net/wiki/spaces/PAY/pages/71004/PSD2,do-or-die,metric,,,,,,,,,2026-01-06,2026-03-31,,,Payment failure rate,down,2.4,pp,
s03,done,checkout,,One-page checkout redesign - Mid MAR,completed,"Collapsed the four-step funnel into a single scrollable page with inline validation. Every step we removed was a step people were leaving on.

A/B tested at 50/50 for three weeks before the full ramp.","[{""id"":""l03a"",""url"":""https://www.figma.com/file/9xQm2/checkout-v3""},{""id"":""l03b"",""url"":""https://app.amplitude.com/analytics/threadhouse/dashboard/checkout-funnel""}]",,,beat-competition,direct,900000,Conversion,Unblocks every future one-tap wallet,,,,,year,2026-01-19,2026-03-16,"[{""id"":""m03a"",""date"":""2026-02-24"",""label"":""A/B test starts""}]",1400000,,,,,
s04,done,auth,,Passwordless magic-link sign-in - 10 APR,completed,Password resets were our single largest contact driver — more tickets than delivery chasing. Magic links removed the category rather than optimising it.,"[{""id"":""l04a"",""url"":""https://github.com/threadhouse/firefly-auth""}]",,,stay-relevant,metric,,,,,,,,,2026-02-09,2026-04-10,"[{""id"":""m04a"",""date"":""2026-03-02"",""label"":""Internal dogfood""},{""id"":""m04b"",""date"":""2026-03-30"",""label"":""5% cohort live""}]",,Sign-in completion,up,11,pp,
s05,done,search,,Typo-tolerant search on the PLP - 22 MAY,completed,"""Sweatshit"" now returns sweatshirts. Roughly one in nine apparel searches contains a typo, and every one of them used to return an empty page.","[{""id"":""l05a"",""url"":""https://lookerstudio.google.com/reporting/search-quality""}]",,,stay-relevant,metric,,,,,,,,,2026-04-06,2026-05-22,,,Search zero-results,down,38,%,
s06,done,catalogue,FR/DE,Unified size chart across FR and DE catalogues - End of JUNE,completed,"The same jumper was listed as M in France and 38 in Germany, with no mapping between them. Merchandising maintained the two by hand, and they disagreed about 8% of the time.","[{""id"":""l06a"",""url"":""https://docs.google.com/spreadsheets/d/1aZ9/size-mapping""},{""id"":""l06b"",""url"":""https://www.notion.so/threadhouse/Sizing-standards-4f2a""}]",,,do-or-die,,,,Prerequisite for AI fit recommendations,,,,,,2026-05-04,2026-06-30,,,,,,,
s07,done,service,,Self-service returns portal - 30 JUN,completed,"Customers book their own return, print their own label, and see the refund clock start. Previously all three of those were an email to an agent.","[{""id"":""l07a"",""url"":""https://threadhouse.atlassian.net/browse/CS-611""}]",,,beat-competition,saving,,,,,420000,reduce,Contact centre handling,year,2026-04-20,2026-06-30,"[{""id"":""m07a"",""date"":""2026-06-01"",""label"":""FR pilot""}]",,,,,,
s08,done,fulfilment,,Carrier-agnostic label printing - Q2 2026,completed,"One label service, four carriers behind it. Switching a route used to be a deploy; it's now a config change, which is what made the same-day pilot conceivable at all.",,,,stay-relevant,saving,,,Enables the same-day delivery pilot,,95000,reduce,Per-parcel carrier surcharges,year,2026-04-13,2026-06-19,,,,,,,
s09,done,mobile,,Native wishlist with push price alerts - 12 MAY,completed,Apparel shoppers wait for the sale. Now we tell them when it starts instead of hoping they come back and check.,"[{""id"":""l09a"",""url"":""https://www.loom.com/share/wishlist-walkthrough""}]",,,beat-competition,direct,260000,Retention,,,,,,year,2026-03-23,2026-05-12,,,,,,,
s10,done,data,,Consent-mode v2 analytics migration - Q1 2026,completed,"Unglamorous and completely load-bearing. Without it, every downstream personalisation model is training on data we aren't allowed to use.",,,,do-or-die,,,,Legal basis for all personalisation work,,,,,,2026-01-12,2026-03-20,,,,,,,
