id,columnId,teamId,tag,text,flag,description,links,jiraUrl,confluenceUrl,strategicCategory,revenueType,revenueUplift,revenueStream,enablerNote,enables,savingAmount,savingKind,savingArea,cadence,startDate,endDate,milestones,outcomeMax,metricName,metricDir,metricValue,metricUnit,strategicNote
pay01,done,payments,DE,SEPA direct debit for German checkout - 28 FEB,completed,"Direct debit (Lastschrift) is the default payment method for roughly a third of German shoppers. Not offering it wasn't losing us the payment — it was losing us the basket, at the moment of highest intent.

Shipped with a Schufa-backed risk check so we can offer it to first-time buyers without eating the chargeback risk.","[{""id"":""l-pay01a"",""url"":""https://threadhouse.atlassian.net/browse/PAY-1042""},{""id"":""l-pay01b"",""url"":""https://threadhouse.atlassian.net/wiki/spaces/PAY/pages/88211/SEPA+rollout""}]",,,do-or-die,direct,480000,Payments,,,,,,year,2026-01-06,2026-02-28,"[{""id"":""m-pay01a"",""date"":""2026-01-23"",""label"":""Risk model signed off""},{""id"":""m-pay01b"",""date"":""2026-02-11"",""label"":""10% traffic ramp""}]",,,,,,
pay02,done,payments,,PSD2 strong customer authentication rollout - Q1 2026,completed,"Regulatory, non-negotiable. The interesting part was the exemption engine: low-risk transactions under €30 skip the challenge entirely, which is why the failure rate went down rather than up.",,https://threadhouse.atlassian.net/browse/PAY-0977,https://threadhouse.atlassian.net/wiki/spaces/PAY/pages/71004/PSD2,do-or-die,metric,,,,,,,,,2026-01-06,2026-03-31,,,Payment failure rate,down,2.4,pp,
pay03,done,payments,,3-D Secure step-up only for risky baskets - 14 APR,completed,We were challenging every card payment because it was the simplest thing to build. Scoring the basket first means 78% of shoppers never see a challenge screen at all.,"[{""id"":""l-pay03a"",""url"":""https://app.amplitude.com/analytics/threadhouse/dashboard/payment-funnel""}]",,,beat-competition,direct,350000,Conversion,,,,,,year,2026-03-02,2026-04-14,,,,,,,
pay04,done,payments,AT,Austrian EPS bank transfer - 22 MAY,completed,"Austria's equivalent of iDEAL. Small integration, and the market expects it.","[{""id"":""l-pay04a"",""url"":""https://threadhouse.atlassian.net/browse/PAY-1103""}]",,,stay-relevant,direct,120000,Payments,,,,,,year,2026-04-20,2026-05-22,,,,,,,
pay05,done,payments,,Refund SLA cut to 3 working days - 31 JUL,completed,"Refunds used to wait for the returned parcel to be scanned at the central warehouse, which meant up to eleven days. We now refund on carrier receipt and reconcile afterwards.

The finance risk turned out to be about a tenth of what everyone assumed — the reconciliation gap is under 0.3% of refund value.","[{""id"":""l-pay05a"",""url"":""https://lookerstudio.google.com/reporting/refund-sla""},{""id"":""l-pay05b"",""url"":""https://www.notion.so/threadhouse/Refund-policy-change-3d81""}]",,,beat-competition,metric,,,,,,,,,2026-06-01,2026-07-31,"[{""id"":""m-pay05a"",""date"":""2026-07-06"",""label"":""Finance sign-off""}]",,Refund-related contacts,down,31,%,
chk01,done,checkout,,One-page checkout redesign - Mid MAR,completed,"Collapsed the four-step funnel into a single scrollable page with inline validation. Every step we removed was a step people were leaving on.

A/B tested at 50/50 for three weeks before the full ramp.","[{""id"":""l-chk01a"",""url"":""https://www.figma.com/file/9xQm2/checkout-v3""},{""id"":""l-chk01b"",""url"":""https://app.amplitude.com/analytics/threadhouse/dashboard/checkout-funnel""}]",,,beat-competition,direct,900000,Conversion,Unblocks every future one-tap wallet,,,,,year,2026-01-19,2026-03-16,"[{""id"":""m-chk01a"",""date"":""2026-02-24"",""label"":""A/B test starts""}]",1400000,,,,,
chk02,done,checkout,FR/DE,Address autocomplete for France and Germany - 08 APR,completed,"Mistyped addresses were the second-largest cause of failed deliveries, and every failed delivery is a redelivery cost plus a contact.",,,,stay-relevant,saving,,,,,165000,reduce,Failed delivery redelivery,year,2026-03-09,2026-04-08,,,,,,,
chk03,done,checkout,,Cart persistence across devices - 19 MAY,completed,People browse on a phone at lunch and buy on a laptop in the evening. Until May those were two unrelated carts.,,,,stay-relevant,metric,,,,,,,,,2026-04-13,2026-05-19,,,Cross-device conversion,up,3.1,pp,
chk04,done,checkout,,Inline promo-code validation - 26 JUN,completed,Three days of work for one of the better conversion results of the half. The old flow validated the code on submit and cleared the whole form when it failed.,,,,stay-relevant,direct,210000,Conversion,,,,,,year,2026-06-15,2026-06-26,,,,,,,
auth01,done,auth,,Passwordless magic-link sign-in - 10 APR,completed,Password resets were our single largest contact driver — more tickets than delivery chasing. Magic links removed the category rather than optimising it.,"[{""id"":""l-auth01a"",""url"":""https://github.com/threadhouse/firefly-auth""}]",,,stay-relevant,metric,,,,,,,,,2026-02-09,2026-04-10,"[{""id"":""m-auth01a"",""date"":""2026-03-02"",""label"":""Internal dogfood""},{""id"":""m-auth01b"",""date"":""2026-03-30"",""label"":""5% cohort live""}]",,Sign-in completion,up,11,pp,
