id,columnId,teamId,tag,text,flag,description,jiraUrl,confluenceUrl
i1,done,firefly,AT,IWT Austria on Auth0 - 05 JAN,,,,
i2,done,firefly,FR/DE,Breached password detection (monitoring) - 05 JAN,,,,
i3,done,firefly,DE,IMMONET Sunset - 15 FEB,,,,
i4,done,waterfly,FR/DE,Phone Number Verification as a service (Vonage → Twilio) - Q4 2025,,,,
i5,done,waterfly,DE,New 9-digit Customer facing ID (prev. 21 digit AVIVUserID) - 26 JAN,,,,
i6,done,waterfly,DE,IMMONET Sunset - 15 FEB,,,,
i7,done,waterfly,FR,OPT-IN's for Homes4You (DE on the next iteration) - 31 MAR,,,,
i8,coming,firefly,FR/DE,Expose MFA confidence factor in events and emails to reduce Fraud,done,,,
i12,coming,firefly,FR,Auth0 for SL PRO (will be done by SUPPLY team in FR),done,,,
i9,coming,firefly,FR/DE,PLATFORM SPLIT - mid JUNE,warning,,,
i13,coming,firefly,FR/DE,Domain Events: Exposing the events to Snowflake,warning,,,
i11,coming,firefly,FR/DE,Revoking sessions upon password RESET/CHANGE - MAY (was 25MAR),risk,,,
i16,coming,waterfly,FR/DE,PLATFORM SPLIT - mid JUNE,warning,,,
i17,coming,waterfly,FR/DE,OPT-IN's (country split),warning,,,
i18,coming,waterfly,FR,Migrate CUSTOMER.IO (SI/LI) to use WL OPT-IN service - MAY,warning,,,
i19,coming,waterfly,FR/DE,Export all OPT-INs to SNOWFLAKE,warning,,,
i22,coming,waterfly,DE,Deutsche Bank Data Export - MAY,warning,,,
i24,coming,waterfly,DE,Call Tracking - Pii data storage (phone numbers only),,,,
i20,coming,waterfly,DE,Document Management Service (upload/download/delete/sharing),,,,
i21,coming,waterfly,DE,ID Verification - for SCHUFA funnel,,,,
i25,coming,monet,DE,Integration with SCHUFA,risk,,,
i26,coming,monet,DE,SCHUFA: Create all frontend components based on NEW designs,warning,,,
i27,coming,monet,DE,SCHUFA: Setting up infra and deployment pipeline,warning,,,
i28,after,firefly,DE,Legacy Decommissioning,,,,
i29,after,firefly,DE,Backoffice support: Enable BO agents to revoke user sessions,,,,
i30,after,firefly,DE,Masquerade feature via BACKOFFICE,,,,
i31,after,firefly,FR/DE,Passwordless (OTP code via email) + B2B/B2C tenant split,risk,,,
i32,after,firefly,FR/DE,Login & Signup UX Improvements (Introduce Modal),,,,
i33,after,firefly,FR/DE,Login/Signup with MOBILE NUMBER,,,,
i34,future,firefly,DE,Trusted Devices Fingerprints (Low Impact),,,,
i15,done,firefly,FR/DE,BLOCK acc. creation on suspicious first/last names - 20 APR,,,,
i10,done,firefly,FR/DE,Breached password protection - 21 APR,,,,
i14,coming,firefly,DE,Enrol ALL B2B users on SMS MFA,risk,there’s some legacy flow that’s overriding whatever we provision. currently very complex / Maki is investigating but still no clarity,,https://avivgroup.atlassian.net/wiki/spaces/APE/pages/2928574565
i1776858742442,coming,monet,DE,Financing Funnel - iOS Native,,,,
i1776943279335,after,waterfly,FR/DE,Call Tracking - Pii data storage (recording / transcript / summary),,,,
i1777043999029,coming,monet,DE,Update Visual in web2app banner - End of APR,,As part of the new IWT brand campaign launching on 30 Apr 2026 all visuals on the website should use the new campaign materials.,https://avivgroup.atlassian.net/browse/SKRFIN-810,
i1777044155003,after,waterfly,FR/DE,ID Verification for TRUSTED badge,,,,
i1777280170344,after,monet,FR/DE,Migrating financing emails from legacy email service to Salesforce (SFMC),,,https://avivgroup.atlassian.net/browse/SKRFIN-806,
